Typical Measured Spectrum of Semrock FF611-SDi01 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
550.0	0.93703
550.2	0.93515
550.4	0.93284
550.6	0.93591
550.8	0.93739
551.0	0.93982
551.2	0.93803
551.4	0.9368
551.6	0.93666
551.8	0.93899
552.0	0.94245
552.2	0.94283
552.4	0.94408
552.6	0.94672
552.8	0.94756
553.0	0.9481
553.2	0.94655
553.4	0.94778
553.6	0.94861
553.8	0.94741
554.0	0.94627
554.2	0.94497
554.4	0.94475
554.6	0.94541
554.8	0.94442
555.0	0.94285
555.2	0.94408
555.4	0.94349
555.6	0.94168
555.8	0.94039
556.0	0.93858
556.2	0.94024
556.4	0.94109
556.6	0.94041
556.8	0.94141
557.0	0.94027
557.2	0.93969
557.4	0.94078
557.6	0.94187
557.8	0.93986
558.0	0.93928
558.2	0.93921
558.4	0.93941
558.6	0.93972
558.8	0.94117
559.0	0.94247
559.2	0.94191
559.4	0.94257
559.6	0.94176
559.8	0.94269
560.0	0.94319
560.2	0.94357
560.4	0.94512
560.6	0.94656
560.8	0.94744
561.0	0.94654
561.2	0.94517
561.4	0.94457
561.6	0.94645
561.8	0.94837
562.0	0.94896
562.2	0.94923
562.4	0.94716
562.6	0.94825
562.8	0.94826
563.0	0.94842
563.2	0.95008
563.4	0.94947
563.6	0.94876
563.8	0.94894
564.0	0.95149
564.2	0.95076
564.4	0.94793
564.6	0.9476
564.8	0.94893
565.0	0.95142
565.2	0.9495
565.4	0.94719
565.6	0.94704
565.8	0.94662
566.0	0.94791
566.2	0.94765
566.4	0.94809
566.6	0.94649
566.8	0.94609
567.0	0.94503
567.2	0.94663
567.4	0.94855
567.6	0.94845
567.8	0.94895
568.0	0.94847
568.2	0.94895
568.4	0.94907
568.6	0.94799
568.8	0.94694
569.0	0.94805
569.2	0.94924
569.4	0.95022
569.6	0.94927
569.8	0.94789
570.0	0.94827
570.2	0.94923
570.4	0.95194
570.6	0.95165
570.8	0.9509
571.0	0.95087
571.2	0.95038
571.4	0.95058
571.6	0.94993
571.8	0.95045
572.0	0.95198
572.2	0.95241
572.4	0.95153
572.6	0.95013
572.8	0.95013
573.0	0.95237
573.2	0.95079
573.4	0.94792
573.6	0.94745
573.8	0.94626
574.0	0.94508
574.2	0.94415
574.4	0.94437
574.6	0.94485
574.8	0.94489
575.0	0.9452
575.2	0.94187
575.4	0.94235
575.6	0.9433
575.8	0.94296
576.0	0.94401
576.2	0.94424
576.4	0.94493
576.6	0.9451
576.8	0.94498
577.0	0.94442
577.2	0.94402
577.4	0.94201
577.6	0.94348
577.8	0.94445
578.0	0.94559
578.2	0.94623
578.4	0.94598
578.6	0.94671
578.8	0.949
579.0	0.95028
579.2	0.94922
579.4	0.94803
579.6	0.94852
579.8	0.94875
580.0	0.94986
580.2	0.94939
580.4	0.95056
580.6	0.94907
580.8	0.95022
581.0	0.94919
581.2	0.94611
581.4	0.94559
581.6	0.94629
581.8	0.94532
582.0	0.94514
582.2	0.94731
582.4	0.94468
582.6	0.94517
582.8	0.94481
583.0	0.94161
583.2	0.93994
583.4	0.94157
583.6	0.94076
583.8	0.93728
584.0	0.93633
584.2	0.93656
584.4	0.93577
584.6	0.93385
584.8	0.93265
585.0	0.9329
585.2	0.93367
585.4	0.93482
585.6	0.93514
585.8	0.93637
586.0	0.93469
586.2	0.93493
586.4	0.93321
586.6	0.93126
586.8	0.93373
587.0	0.93297
587.2	0.93415
587.4	0.93588
587.6	0.93762
587.8	0.93808
588.0	0.94102
588.2	0.94048
588.4	0.94006
588.6	0.94196
588.8	0.94353
589.0	0.94384
589.2	0.9454
589.4	0.94382
589.6	0.94315
589.8	0.94449
590.0	0.94514
590.2	0.946
590.4	0.94567
590.6	0.94619
590.8	0.94691
591.0	0.94716
591.2	0.94674
591.4	0.94929
591.6	0.95039
591.8	0.94747
592.0	0.94506
592.2	0.94644
592.4	0.94626
592.6	0.94558
592.8	0.94485
593.0	0.94439
593.2	0.94294
593.4	0.94283
593.6	0.94205
593.8	0.94217
594.0	0.9425
594.2	0.94375
594.4	0.94271
594.6	0.94195
594.8	0.94062
595.0	0.94084
595.2	0.94321
595.4	0.9441
595.6	0.94183
595.8	0.94062
596.0	0.94099
596.2	0.9399
596.4	0.94079
596.6	0.94041
596.8	0.94043
597.0	0.93833
597.2	0.93819
597.4	0.93959
597.6	0.9394
597.8	0.93958
598.0	0.94023
598.2	0.93963
598.4	0.93966
598.6	0.94046
598.8	0.94013
599.0	0.94187
599.2	0.94499
599.4	0.94624
599.6	0.94456
599.8	0.9426
600.0	0.94163
600.2	0.94264
600.4	0.94519
600.6	0.94782
600.8	0.94715
601.0	0.94903
601.2	0.95033
601.4	0.95026
601.6	0.94931
601.8	0.94701
602.0	0.94375
602.2	0.94239
602.4	0.93998
602.6	0.93686
602.8	0.93363
603.0	0.9277
603.2	0.92078
603.4	0.91207
603.6	0.89987
603.8	0.88814
604.0	0.87473
604.2	0.85836
604.4	0.84167
604.6	0.82417
604.8	0.80023
605.0	0.77897
605.2	0.75688
605.4	0.73531
605.6	0.71296
605.8	0.69054
606.0	0.66797
606.2	0.64615
606.4	0.62598
606.6	0.60601
606.8	0.59189
607.0	0.57653
607.2	0.56229
607.4	0.54825
607.6	0.53864
607.8	0.52881
608.0	0.51745
608.2	0.50625
608.4	0.50018
608.6	0.49439
608.8	0.49171
609.0	0.48845
609.2	0.48426
609.4	0.48059
609.6	0.47858
609.8	0.47467
610.0	0.4727
610.2	0.46785
610.4	0.46262
610.6	0.45636
610.8	0.44941
611.0	0.4412
611.2	0.43145
611.4	0.41874
611.6	0.40618
611.8	0.3928
612.0	0.37947
612.2	0.36377
612.4	0.34726
612.6	0.33045
612.8	0.31366
613.0	0.29527
613.2	0.27652
613.4	0.25908
613.6	0.24117
613.8	0.22432
614.0	0.20813
614.2	0.19262
614.4	0.17719
614.6	0.16325
614.8	0.14994
615.0	0.13744
615.2	0.12559
615.4	0.11495
615.6	0.10554
615.8	0.09705
616.0	0.08923
616.2	0.08173
616.4	0.07492
616.6	0.06895
616.8	0.0636
617.0	0.05854
617.2	0.05419
617.4	0.04972
617.6	0.04587
617.8	0.04244
618.0	0.0395
618.2	0.03671
618.4	0.03418
618.6	0.03187
618.8	0.02965
619.0	0.02767
619.2	0.0259
619.4	0.02438
619.6	0.02292
619.8	0.0215
620.0	0.02029
620.2	0.01918
620.4	0.0181
620.6	0.01708
620.8	0.01618
621.0	0.01538
621.2	0.01461
621.4	0.01393
621.6	0.01332
621.8	0.01275
622.0	0.01218
622.2	0.01169
622.4	0.01123
622.6	0.01079
622.8	0.01043
623.0	0.01005
623.2	0.00973
623.4	0.00942
623.6	0.00912
623.8	0.00885
624.0	0.00857
624.2	0.00838
624.4	0.00814
624.6	0.00797
624.8	0.00783
625.0	0.0077
625.2	0.0076
625.4	0.00752
625.6	0.00745
625.8	0.00739
626.0	0.0074
626.2	0.00734
626.4	0.00742
626.6	0.00742
626.8	0.00744
627.0	0.00746
627.2	0.00749
627.4	0.00753
627.6	0.00751
627.8	0.00751
628.0	0.00747
628.2	0.00745
628.4	0.00736
628.6	0.00728
628.8	0.00716
629.0	0.00704
629.2	0.00691
629.4	0.00671
629.6	0.00656
629.8	0.00634
630.0	0.00618
630.2	0.00605
630.4	0.00582
630.6	0.00564
630.8	0.00545
631.0	0.00531
631.2	0.00516
631.4	0.00506
631.6	0.00496
631.8	0.00489
632.0	0.00481
632.2	0.00479
632.4	0.00474
632.6	0.00472
632.8	0.0047
633.0	0.00469
633.2	0.00473
633.4	0.00475
633.6	0.00481
633.8	0.00478
634.0	0.00484
634.2	0.0049
634.4	0.00499
634.6	0.00506
634.8	0.00516
635.0	0.00525
635.2	0.00534
635.4	0.00544
635.6	0.00558
635.8	0.0057
636.0	0.00586
636.2	0.00602
636.4	0.00618
636.6	0.00635
636.8	0.00658
637.0	0.00676
637.2	0.00698
637.4	0.00725
637.6	0.00745
637.8	0.00773
638.0	0.00803
638.2	0.00835
638.4	0.00871
638.6	0.00909
638.8	0.0095
639.0	0.00991
639.2	0.01031
639.4	0.0108
639.6	0.01127
639.8	0.01174
640.0	0.01228
640.2	0.01278
640.4	0.01335
640.6	0.01382
640.8	0.01426
641.0	0.01474
641.2	0.01522
641.4	0.01571
641.6	0.01613
641.8	0.01652
642.0	0.01681
642.2	0.01704
642.4	0.01725
642.6	0.01741
642.8	0.0175
643.0	0.01746
643.2	0.01736
643.4	0.01718
643.6	0.01694
643.8	0.01662
644.0	0.01626
644.2	0.01583
644.4	0.01547
644.6	0.01504
644.8	0.01448
645.0	0.01402
645.2	0.01356
645.4	0.01304
645.6	0.0125
645.8	0.01202
646.0	0.01156
646.2	0.01108
646.4	0.01066
646.6	0.01021
646.8	0.00977
647.0	0.00937
647.2	0.00899
647.4	0.0087
647.6	0.00834
647.8	0.00804
648.0	0.00775
648.2	0.00749
648.4	0.00723
648.6	0.00695
648.8	0.00673
649.0	0.00654
649.2	0.00634
649.4	0.00617
649.6	0.00599
649.8	0.00586
650.0	0.00572
650.2	0.0056
650.4	0.00547
650.6	0.00534
650.8	0.00528
651.0	0.00518
651.2	0.00509
651.4	0.00502
651.6	0.00494
651.8	0.0049
652.0	0.00485
652.2	0.0048
652.4	0.00474
652.6	0.00468
652.8	0.00467
653.0	0.00465
653.2	0.00462
653.4	0.00461
653.6	0.0046
653.8	0.00461
654.0	0.00461
654.2	0.00459
654.4	0.00462
654.6	0.00462
654.8	0.00463
655.0	0.00465
655.2	0.0047
655.4	0.0047
655.6	0.00476
655.8	0.0048
656.0	0.00485
656.2	0.00489
656.4	0.00498
656.6	0.00505
656.8	0.00512
657.0	0.00522
657.2	0.0053
657.4	0.00539
657.6	0.00551
657.8	0.00558
658.0	0.00572
658.2	0.00581
658.4	0.00597
658.6	0.0061
658.8	0.00624
659.0	0.00646
659.2	0.00661
659.4	0.00678
659.6	0.00699
659.8	0.00717
660.0	0.00741
660.2	0.00765
660.4	0.00793
660.6	0.00817
660.8	0.00841
661.0	0.00873
661.2	0.00906
661.4	0.0094
661.6	0.00974
661.8	0.0101
662.0	0.01047
662.2	0.01085
662.4	0.01129
662.6	0.01172
662.8	0.01213
663.0	0.01261
663.2	0.01305
663.4	0.01352
663.6	0.01404
663.8	0.01454
664.0	0.01499
664.2	0.01553
664.4	0.016
664.6	0.01651
664.8	0.01696
665.0	0.01741
665.2	0.0178
665.4	0.01819
665.6	0.01854
665.8	0.01881
666.0	0.01911
666.2	0.01933
666.4	0.01959
666.6	0.01968
666.8	0.01983
667.0	0.01997
667.2	0.01999
667.4	0.01994
667.6	0.01995
667.8	0.01992
668.0	0.01973
668.2	0.01959
668.4	0.01947
668.6	0.01936
668.8	0.01925
669.0	0.0191
669.2	0.01875
669.4	0.01857
669.6	0.01839
669.8	0.01809
670.0	0.01783
670.2	0.01752
670.4	0.01733
670.6	0.01706
670.8	0.01685
671.0	0.01663
671.2	0.01643
671.4	0.01617
671.6	0.01597
671.8	0.01583
672.0	0.01565
672.2	0.0155
672.4	0.01539
672.6	0.01523
672.8	0.0151
673.0	0.01484
673.2	0.0146
673.4	0.01454
673.6	0.01455
673.8	0.01438
674.0	0.01432
674.2	0.01432
674.4	0.0143
674.6	0.01428
674.8	0.01432
675.0	0.01434
675.2	0.01431
675.4	0.01434
675.6	0.01436
675.8	0.01452
676.0	0.01461
676.2	0.0147
676.4	0.01484
676.6	0.01491
676.8	0.01498
677.0	0.01514
677.2	0.01532
677.4	0.01547
677.6	0.01561
677.8	0.01565
678.0	0.0158
678.2	0.01596
678.4	0.01616
678.6	0.01632
678.8	0.01649
679.0	0.0167
679.2	0.01687
679.4	0.01701
679.6	0.01716
679.8	0.01735
680.0	0.01741
680.2	0.01763
680.4	0.01776
680.6	0.01778
680.8	0.01783
681.0	0.01789
681.2	0.01797
681.4	0.018
681.6	0.01794
681.8	0.01789
682.0	0.01785
682.2	0.01782
682.4	0.01769
682.6	0.01754
682.8	0.01738
683.0	0.01728
683.2	0.01715
683.4	0.01702
683.6	0.01677
683.8	0.01651
684.0	0.01632
684.2	0.01605
684.4	0.0158
684.6	0.01553
684.8	0.01529
685.0	0.01499
685.2	0.01473
685.4	0.01439
685.6	0.01414
685.8	0.01386
686.0	0.01361
686.2	0.01329
686.4	0.01292
686.6	0.01264
686.8	0.0124
687.0	0.01215
687.2	0.01185
687.4	0.01158
687.6	0.01132
687.8	0.01112
688.0	0.0109
688.2	0.01071
688.4	0.01044
688.6	0.01015
688.8	0.00997
689.0	0.00979
689.2	0.00957
689.4	0.00938
689.6	0.0092
689.8	0.00903
690.0	0.00885
690.2	0.00873
690.4	0.00861
690.6	0.00852
690.8	0.00838
691.0	0.00831
691.2	0.00817
691.4	0.00809
691.6	0.00801
691.8	0.00794
692.0	0.00786
692.2	0.0078
692.4	0.00778
692.6	0.00777
692.8	0.00772
693.0	0.00773
693.2	0.00769
693.4	0.00767
693.6	0.00769
693.8	0.0077
694.0	0.00773
694.2	0.00776
694.4	0.00776
694.6	0.00778
694.8	0.0078
695.0	0.00784
695.2	0.00789
695.4	0.008
695.6	0.00804
695.8	0.00812
696.0	0.0082
696.2	0.00834
696.4	0.00846
696.6	0.0086
696.8	0.00873
697.0	0.00889
697.2	0.00904
697.4	0.00919
697.6	0.00935
697.8	0.00953
698.0	0.00971
698.2	0.00993
698.4	0.01015
698.6	0.01031
698.8	0.01054
699.0	0.01078
699.2	0.01102
699.4	0.01127
699.6	0.01155
699.8	0.01183
700.0	0.01213
700.2	0.01237
700.4	0.01261
700.6	0.01291
700.8	0.01321
701.0	0.01352
701.2	0.01379
701.4	0.01399
701.6	0.01427
701.8	0.0145
702.0	0.01471
702.2	0.01498
702.4	0.01514
702.6	0.0154
702.8	0.01551
703.0	0.01555
703.2	0.01568
703.4	0.01575
703.6	0.01586
703.8	0.01586
704.0	0.01584
704.2	0.01575
704.4	0.01572
704.6	0.01555
704.8	0.01542
705.0	0.01525
705.2	0.01503
705.4	0.01484
705.6	0.01456
705.8	0.01426
706.0	0.01396
706.2	0.01367
706.4	0.01336
706.6	0.01302
706.8	0.0127
707.0	0.01237
707.2	0.01207
707.4	0.01173
707.6	0.01133
707.8	0.01107
708.0	0.01067
708.2	0.01035
708.4	0.00996
708.6	0.00959
708.8	0.00925
709.0	0.00897
709.2	0.00869
709.4	0.0084
709.6	0.00812
709.8	0.00784
710.0	0.00755
710.2	0.00729
710.4	0.00705
710.6	0.00682
710.8	0.00663
711.0	0.00642
711.2	0.00618
711.4	0.00599
711.6	0.00586
711.8	0.0057
712.0	0.00553
712.2	0.0054
712.4	0.00522
712.6	0.0051
712.8	0.00495
713.0	0.00488
713.2	0.00476
713.4	0.00467
713.6	0.00457
713.8	0.00452
