Typical Measured Spectrum of Semrock FF01-640/40 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
265.0	2.6594e-06
265.2	2.4464e-06
265.4	2.2504e-06
265.6	2.0701e-06
265.8	1.9043e-06
266.0	1.7518e-06
266.2	1.6115e-06
266.4	1.4824e-06
266.6	1.3636e-06
266.8	1.2544e-06
267.0	1.1539e-06
267.2	1.2221e-06
267.4	1.3039e-06
267.6	1.3912e-06
267.8	1.4843e-06
268.0	1.5837e-06
268.2	1.6897e-06
268.4	1.8028e-06
268.6	1.9234e-06
268.8	2.0522e-06
269.0	2.1896e-06
269.2	2.3361e-06
269.4	2.4925e-06
269.6	2.6594e-06
269.8	2.8374e-06
270.0	3.0273e-06
270.2	3.23e-06
270.4	3.4462e-06
270.6	3.6769e-06
270.8	3.7635e-06
271.0	3.4623e-06
271.2	3.1851e-06
271.4	2.9302e-06
271.6	2.6956e-06
271.8	2.4799e-06
272.0	2.2814e-06
272.2	2.0988e-06
272.4	1.9308e-06
272.6	1.7762e-06
272.8	1.634e-06
273.0	1.5032e-06
273.2	1.3829e-06
273.4	1.2722e-06
273.6	1.1704e-06
273.8	1.0767e-06
274.0	9.9053e-07
274.2	9.1124e-07
274.4	8.383e-07
274.6	8.0558e-07
274.8	7.9512e-07
275.0	7.8479e-07
275.2	7.7767e-07
275.4	7.7062e-07
275.6	7.6329e-07
275.8	7.5576e-07
276.0	7.483e-07
276.2	7.4092e-07
276.4	7.3361e-07
276.6	7.2637e-07
276.8	7.192e-07
277.0	7.1211e-07
277.2	7.0508e-07
277.4	6.9812e-07
277.6	6.9124e-07
277.8	6.8442e-07
278.0	6.7766e-07
278.2	6.7098e-07
278.4	6.6435e-07
278.6	6.578e-07
278.8	6.5131e-07
279.0	6.4488e-07
279.2	6.3852e-07
279.4	6.8034e-07
279.6	7.315e-07
279.8	7.865e-07
280.0	8.4564e-07
280.2	9.0923e-07
280.4	9.776e-07
280.6	1.0511e-06
280.8	1.1302e-06
281.0	1.2151e-06
281.2	1.3065e-06
281.4	1.4048e-06
281.6	1.5104e-06
281.8	1.624e-06
282.0	1.7461e-06
282.2	1.8774e-06
282.4	2.0185e-06
282.6	2.1703e-06
282.8	2.3335e-06
283.0	2.5633e-06
283.2	3.0188e-06
283.4	3.5552e-06
283.6	4.187e-06
283.8	4.931e-06
284.0	5.8073e-06
284.2	6.8392e-06
284.4	8.0546e-06
284.6	9.4859e-06
284.8	1.1172e-05
285.0	1.3157e-05
285.2	1.3646e-05
285.4	1.4153e-05
285.6	1.3559e-05
285.8	1.2307e-05
286.0	1.1171e-05
286.2	1.014e-05
286.4	9.2038e-06
286.6	8.3541e-06
286.8	7.5828e-06
287.0	6.8828e-06
287.2	6.2474e-06
287.4	5.6706e-06
287.6	5.1471e-06
287.8	4.6719e-06
288.0	4.2406e-06
288.2	3.8491e-06
288.4	3.4938e-06
288.6	3.1712e-06
288.8	2.8785e-06
289.0	2.6127e-06
289.2	2.3715e-06
289.4	2.0949e-06
289.6	1.8477e-06
289.8	1.6296e-06
290.0	1.4373e-06
290.2	1.2676e-06
290.4	1.118e-06
290.6	9.8606e-07
290.8	8.6968e-07
291.0	7.6704e-07
291.2	6.7651e-07
291.4	5.9666e-07
291.6	5.2624e-07
291.8	4.6413e-07
292.0	4.0935e-07
292.2	3.6104e-07
292.4	3.1843e-07
292.6	2.8084e-07
292.8	2.477e-07
293.0	2.3918e-07
293.2	2.8533e-07
293.4	3.4039e-07
293.6	4.0607e-07
293.8	4.8442e-07
294.0	5.7789e-07
294.2	6.894e-07
294.4	8.2242e-07
294.6	9.8111e-07
294.8	1.1704e-06
295.0	1.3963e-06
295.2	1.2499e-06
295.4	1.1189e-06
295.6	1.0017e-06
295.8	8.9669e-07
296.0	8.0272e-07
296.2	7.1859e-07
296.4	6.4328e-07
296.6	5.7587e-07
296.8	5.1552e-07
297.0	4.6149e-07
297.2	4.1313e-07
297.4	3.6983e-07
297.6	3.3107e-07
297.8	2.9637e-07
298.0	2.7103e-07
298.2	2.6793e-07
298.4	2.6485e-07
298.6	2.6182e-07
298.8	2.5882e-07
299.0	2.5585e-07
299.2	2.5292e-07
299.4	2.5002e-07
299.6	2.4715e-07
299.8	2.4432e-07
300.0	2.4152e-07
300.2	2.3875e-07
300.4	2.3602e-07
300.6	2.3331e-07
300.8	2.3064e-07
301.0	2.2799e-07
301.2	2.2538e-07
301.4	2.228e-07
301.6	2.2024e-07
301.8	2.2804e-07
302.0	2.4435e-07
302.2	2.6181e-07
302.4	2.8053e-07
302.6	3.0058e-07
302.8	3.2207e-07
303.0	3.4509e-07
303.2	3.6976e-07
303.4	3.962e-07
303.6	4.2452e-07
303.8	4.5487e-07
304.0	4.8738e-07
304.2	5.2222e-07
304.4	5.5956e-07
304.6	5.9956e-07
304.8	6.4242e-07
305.0	6.8834e-07
305.2	8.3448e-07
305.4	1.0116e-06
305.6	1.1448e-06
305.8	1.0289e-06
306.0	9.2476e-07
306.2	8.3114e-07
306.4	7.4699e-07
306.6	6.7137e-07
306.8	6.034e-07
307.0	5.4231e-07
307.2	4.8741e-07
307.4	4.3806e-07
307.6	3.9371e-07
307.8	3.5385e-07
308.0	3.1803e-07
308.2	2.8583e-07
308.4	2.5689e-07
308.6	2.3088e-07
308.8	2.0751e-07
309.0	1.865e-07
309.2	1.6762e-07
309.4	1.711e-07
309.6	1.9188e-07
309.8	2.1519e-07
310.0	2.4132e-07
310.2	2.7063e-07
310.4	3.035e-07
310.6	3.4036e-07
310.8	3.817e-07
311.0	4.2806e-07
311.2	4.8005e-07
311.4	5.3835e-07
311.6	6.0374e-07
311.8	6.7707e-07
312.0	7.593e-07
312.2	8.5152e-07
312.4	9.5494e-07
312.6	1.0709e-06
312.8	1.201e-06
313.0	1.3469e-06
313.2	1.214e-06
313.4	1.0751e-06
313.6	9.5201e-07
313.8	8.4305e-07
314.0	7.4655e-07
314.2	6.611e-07
314.4	5.8544e-07
314.6	5.1843e-07
314.8	4.5909e-07
315.0	4.0654e-07
315.2	3.6001e-07
315.4	3.1881e-07
315.6	2.8232e-07
315.8	2.5e-07
316.0	2.2139e-07
316.2	1.9605e-07
316.4	1.7361e-07
316.6	1.5374e-07
316.8	1.4091e-07
317.0	1.405e-07
317.2	1.401e-07
317.4	1.397e-07
317.6	1.3929e-07
317.8	1.3889e-07
318.0	1.3849e-07
318.2	1.381e-07
318.4	1.377e-07
318.6	1.373e-07
318.8	1.3691e-07
319.0	1.3651e-07
319.2	1.3612e-07
319.4	1.3573e-07
319.6	1.3534e-07
319.8	1.3495e-07
320.0	1.3456e-07
320.2	1.3417e-07
320.4	1.3379e-07
320.6	1.3338e-07
320.8	1.3296e-07
321.0	1.3254e-07
321.2	1.3212e-07
321.4	1.317e-07
321.6	1.3128e-07
321.8	1.3087e-07
322.0	1.3046e-07
322.2	1.3004e-07
322.4	1.2963e-07
322.6	1.2922e-07
322.8	1.2882e-07
323.0	1.2841e-07
323.2	1.28e-07
323.4	1.276e-07
323.6	1.272e-07
323.8	1.2679e-07
324.0	1.2639e-07
324.2	1.2596e-07
324.4	1.2447e-07
324.6	1.2301e-07
324.8	1.2156e-07
325.0	1.2013e-07
325.2	1.1871e-07
325.4	1.1732e-07
325.6	1.1594e-07
325.8	1.1457e-07
326.0	1.1322e-07
326.2	1.1189e-07
326.4	1.1057e-07
326.6	1.0927e-07
326.8	1.0798e-07
327.0	1.0671e-07
327.2	1.0546e-07
327.4	1.0422e-07
327.6	1.0299e-07
327.8	1.0178e-07
328.0	1.0801e-07
328.2	1.2648e-07
328.4	1.481e-07
328.6	1.7343e-07
328.8	2.0308e-07
329.0	2.378e-07
329.2	2.7846e-07
329.4	3.2607e-07
329.6	3.8183e-07
329.8	4.4711e-07
330.0	5.2356e-07
330.2	6.1309e-07
330.4	7.1791e-07
330.6	8.4067e-07
330.8	9.8441e-07
331.0	1.1527e-06
331.2	1.3498e-06
331.4	1.5806e-06
331.6	1.8509e-06
331.8	1.7282e-06
332.0	1.5302e-06
332.2	1.3549e-06
332.4	1.1997e-06
332.6	1.0623e-06
332.8	9.4056e-07
333.0	8.3281e-07
333.2	7.374e-07
333.4	6.5292e-07
333.6	5.7812e-07
333.8	5.1189e-07
334.0	4.5324e-07
334.2	4.0132e-07
334.4	3.5534e-07
334.6	3.1463e-07
334.8	2.7859e-07
335.0	2.4667e-07
335.2	1.5479e-07
335.4	9.7128e-08
335.6	6.9873e-08
335.8	6.9144e-08
336.0	6.8424e-08
336.2	6.771e-08
336.4	6.7004e-08
336.6	6.6306e-08
336.8	6.5615e-08
337.0	6.4931e-08
337.2	6.4254e-08
337.4	6.3584e-08
337.6	6.2921e-08
337.8	6.2265e-08
338.0	6.1616e-08
338.2	6.0974e-08
338.4	6.0338e-08
338.6	5.9709e-08
338.8	5.9086e-08
339.0	5.8471e-08
339.2	5.7861e-08
339.4	5.735e-08
339.6	5.6888e-08
339.8	5.6429e-08
340.0	5.5974e-08
340.2	5.5523e-08
340.4	5.5076e-08
340.6	5.4632e-08
340.8	5.4191e-08
341.0	5.3755e-08
341.2	5.3321e-08
341.4	5.2892e-08
341.6	5.2465e-08
341.8	5.2042e-08
342.0	5.1623e-08
342.2	5.1207e-08
342.4	5.0794e-08
342.6	5.0385e-08
342.8	4.9978e-08
343.0	4.9588e-08
343.2	4.9386e-08
343.4	4.9185e-08
343.6	4.8985e-08
343.8	4.8786e-08
344.0	4.8588e-08
344.2	4.839e-08
344.4	4.8194e-08
344.6	4.7998e-08
344.8	4.7803e-08
345.0	4.7608e-08
345.2	4.7415e-08
345.4	4.7222e-08
345.6	4.703e-08
345.8	4.6839e-08
346.0	4.6648e-08
346.2	4.6459e-08
346.4	4.627e-08
346.6	4.6082e-08
346.8	4.5991e-08
347.0	4.6019e-08
347.2	4.6048e-08
347.4	4.6076e-08
347.6	4.6104e-08
347.8	4.6132e-08
348.0	4.616e-08
348.2	4.6188e-08
348.4	4.6216e-08
348.6	4.6245e-08
348.8	4.6273e-08
349.0	4.6301e-08
349.2	4.6329e-08
349.4	4.6358e-08
349.6	4.6386e-08
349.8	4.6414e-08
350.0	4.6442e-08
350.2	4.6471e-08
350.4	4.6499e-08
350.6	4.6477e-08
350.8	4.6446e-08
351.0	4.6416e-08
351.2	4.6385e-08
351.4	4.6354e-08
351.6	4.6324e-08
351.8	4.6293e-08
352.0	4.6262e-08
352.2	4.6232e-08
352.4	4.6201e-08
352.6	4.617e-08
352.8	4.614e-08
353.0	4.6109e-08
353.2	4.6079e-08
353.4	4.6048e-08
353.6	4.6018e-08
353.8	4.5987e-08
354.0	4.5957e-08
354.2	4.593e-08
354.4	4.5915e-08
354.6	4.5901e-08
354.8	4.5886e-08
355.0	4.5871e-08
355.2	4.5856e-08
355.4	4.5842e-08
355.6	4.5827e-08
355.8	4.5812e-08
356.0	4.5798e-08
356.2	4.5783e-08
356.4	4.5768e-08
356.6	4.5753e-08
356.8	4.5739e-08
357.0	4.5724e-08
357.2	4.5709e-08
357.4	4.5695e-08
357.6	4.568e-08
357.8	4.5665e-08
358.0	5.0689e-08
358.2	5.9174e-08
358.4	6.9079e-08
358.6	8.0642e-08
358.8	9.4141e-08
359.0	1.099e-07
359.2	1.283e-07
359.4	1.4977e-07
359.6	1.7484e-07
359.8	2.0411e-07
360.0	2.3827e-07
360.2	2.7816e-07
360.4	3.2472e-07
360.6	3.7908e-07
360.8	4.4253e-07
361.0	5.1661e-07
361.2	6.0309e-07
361.4	7.0404e-07
361.6	8.0725e-07
361.8	7.8739e-07
362.0	7.6802e-07
362.2	7.4913e-07
362.4	7.307e-07
362.6	7.1273e-07
362.8	6.9519e-07
363.0	6.7809e-07
363.2	6.6141e-07
363.4	6.4514e-07
363.6	6.2927e-07
363.8	6.1379e-07
364.0	5.9869e-07
364.2	5.8396e-07
364.4	5.6959e-07
364.6	5.5558e-07
364.8	5.4192e-07
365.0	5.2858e-07
365.2	4.0749e-07
365.4	3.1413e-07
365.6	2.4217e-07
365.8	1.8669e-07
366.0	1.4392e-07
366.2	1.1095e-07
366.4	8.5529e-08
366.6	6.5935e-08
366.8	5.0829e-08
367.0	4.2953e-08
367.2	4.2887e-08
367.4	4.2821e-08
367.6	4.2755e-08
367.8	4.2689e-08
368.0	4.2624e-08
368.2	4.2558e-08
368.4	4.2493e-08
368.6	4.2427e-08
368.8	4.2362e-08
369.0	4.2297e-08
369.2	4.2232e-08
369.4	4.2167e-08
369.6	4.2102e-08
369.8	4.2037e-08
370.0	4.1973e-08
370.2	4.1908e-08
370.4	4.1844e-08
370.6	4.1779e-08
370.8	4.1691e-08
371.0	4.1594e-08
371.2	4.1498e-08
371.4	4.1402e-08
371.6	4.1306e-08
371.8	4.1211e-08
372.0	4.1115e-08
372.2	4.102e-08
372.4	4.0925e-08
372.6	4.083e-08
372.8	4.0736e-08
373.0	4.0642e-08
373.2	4.0548e-08
373.4	4.0454e-08
373.6	4.036e-08
373.8	4.0267e-08
374.0	4.0174e-08
374.2	4.0081e-08
374.4	4.0493e-08
374.6	4.4054e-08
374.8	4.7927e-08
375.0	5.2142e-08
375.2	5.6726e-08
375.4	6.1714e-08
375.6	6.7141e-08
375.8	7.3045e-08
376.0	7.9467e-08
376.2	8.6455e-08
376.4	9.4057e-08
376.6	1.0233e-07
376.8	1.1132e-07
377.0	1.2111e-07
377.2	1.3176e-07
377.4	1.4335e-07
377.6	1.5595e-07
377.8	1.6967e-07
378.0	1.8458e-07
378.2	1.824e-07
378.4	1.6661e-07
378.6	1.5218e-07
378.8	1.39e-07
379.0	1.2696e-07
379.2	1.1597e-07
379.4	1.0592e-07
379.6	9.6749e-08
379.8	8.837e-08
380.0	8.0717e-08
380.2	7.3727e-08
380.4	6.7342e-08
380.6	6.151e-08
380.8	5.6183e-08
381.0	5.1317e-08
381.2	4.6873e-08
381.4	4.2814e-08
381.6	3.9106e-08
381.8	3.5719e-08
382.0	3.5448e-08
382.2	3.5285e-08
382.4	3.5122e-08
382.6	3.4961e-08
382.8	3.48e-08
383.0	3.464e-08
383.2	3.448e-08
383.4	3.4321e-08
383.6	3.4163e-08
383.8	3.4006e-08
384.0	3.385e-08
384.2	3.3694e-08
384.4	3.3539e-08
384.6	3.3384e-08
384.8	3.3231e-08
385.0	3.3078e-08
385.2	3.2925e-08
385.4	3.2774e-08
385.6	3.4571e-08
385.8	3.9931e-08
386.0	4.6121e-08
386.2	5.3271e-08
386.4	6.1529e-08
386.6	7.1067e-08
386.8	8.2084e-08
387.0	9.4809e-08
387.2	1.0951e-07
387.4	1.2648e-07
387.6	1.4609e-07
387.8	1.6874e-07
388.0	1.949e-07
388.2	2.2511e-07
388.4	2.6001e-07
388.6	3.0031e-07
388.8	3.4687e-07
